# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
24

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
BODY,FuselageGeom,0,RGIGINXZKO,0,0,0,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,36,17
# x,y,z,u,w
0.000000000000000000e+00, 1.260504201680671954e-01, -3.600000000000000422e-01, 1.000000000000000000e+00, 0.000000000000000000e+00
-1.850371707708594131e-17, 1.161381996200923916e-01, -4.090448509611176453e-01, 1.000000000000000000e+00, 2.500000000000000000e-01
-3.700743415417188263e-17, 8.911363035946218147e-02, -4.491136303594622237e-01, 1.000000000000000000e+00, 5.000000000000000000e-01
-1.850371707708594131e-17, 4.904485096111763781e-02, -4.761381996200924061e-01, 1.000000000000000000e+00, 7.500000000000000000e-01
0.000000000000000000e+00, 0.000000000000000000e+00, -4.860504201680672653e-01, 1.000000000000000000e+00, 1.000000000000000000e+00
0.000000000000000000e+00, -4.904485096111761699e-02, -4.761381996200924061e-01, 1.000000000000000000e+00, 1.250000000000000000e+00
0.000000000000000000e+00, -8.911363035946216760e-02, -4.491136303594621126e-01, 1.000000000000000000e+00, 1.500000000000000000e+00
-1.387778780781445676e-17, -1.161381996200924194e-01, -4.090448509611175898e-01, 1.000000000000000000e+00, 1.750000000000000000e+00
0.000000000000000000e+00, -1.260504201680672232e-01, -3.599999999999999312e-01, 1.000000000000000000e+00, 2.000000000000000000e+00
-1.387778780781445676e-17, -1.161381996200924194e-01, -3.109551490388823836e-01, 1.000000000000000000e+00, 2.250000000000000000e+00
0.000000000000000000e+00, -8.911363035946216760e-02, -2.708863696405378052e-01, 1.000000000000000000e+00, 2.500000000000000000e+00
0.000000000000000000e+00, -4.904485096111761699e-02, -2.438618003799075673e-01, 1.000000000000000000e+00, 2.750000000000000000e+00
0.000000000000000000e+00, 0.000000000000000000e+00, -2.339495798319327635e-01, 1.000000000000000000e+00, 3.000000000000000000e+00
0.000000000000000000e+00, 4.904485096111762393e-02, -2.438618003799075673e-01, 1.000000000000000000e+00, 3.250000000000000000e+00
0.000000000000000000e+00, 8.911363035946213984e-02, -2.708863696405378052e-01, 1.000000000000000000e+00, 3.500000000000000000e+00
-1.387778780781445676e-17, 1.161381996200924194e-01, -3.109551490388823836e-01, 1.000000000000000000e+00, 3.750000000000000000e+00
0.000000000000000000e+00, 1.260504201680671954e-01, -3.600000000000000422e-01, 1.000000000000000000e+00, 4.000000000000000000e+00
1.658152345369633962e-01, 2.798915461426867424e-01, -3.225600000000000134e-01, 1.199999999999999956e+00, 0.000000000000000000e+00
1.658152345369633962e-01, 2.580109270783754183e-01, -4.308537703264604390e-01, 1.199999999999999956e+00, 2.500000000000000000e-01
1.658152345369633407e-01, 1.978867368527043868e-01, -5.204467368527044835e-01, 1.199999999999999956e+00, 5.000000000000000000e-01
1.658152345369633962e-01, 1.082937703264604534e-01, -5.805709270783754317e-01, 1.199999999999999956e+00, 7.500000000000000000e-01
1.658152345369633962e-01, -2.842170943040400186e-17, -6.024515461426868113e-01, 1.199999999999999956e+00, 1.000000000000000000e+00
1.658152345369634517e-01, -1.082937703264604534e-01, -5.805709270783756537e-01, 1.199999999999999956e+00, 1.250000000000000000e+00
1.658152345369634517e-01, -1.978867368527044146e-01, -5.204467368527043725e-01, 1.199999999999999956e+00, 1.500000000000000000e+00
1.658152345369634240e-01, -2.580109270783754738e-01, -4.308537703264605501e-01, 1.199999999999999956e+00, 1.750000000000000000e+00
1.658152345369633962e-01, -2.798915461426867979e-01, -3.225600000000000134e-01, 1.199999999999999956e+00, 2.000000000000000000e+00
