# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
2

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
LIFTING_SURFACE,WingGeom,0,KYVMAPNHNJ,0,0,1,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 1.721000000000000085e+00, 0.000000000000000000e+00, 6.557377049180335149e-01, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,6,33
# x,y,z,u,w
3.516460472204349763e+00, 0.000000000000000000e+00, 5.451207182674782104e-01, 1.000000000000000000e+00, 0.000000000000000000e+00
3.482083591900400954e+00, 0.000000000000000000e+00, 5.472338160394294437e-01, 1.000000000000000000e+00, 4.173311976788848798e-02
3.432679514231900875e+00, 0.000000000000000000e+00, 5.501995513069521948e-01, 1.000000000000000000e+00, 9.595583006934514658e-02
3.363147187497916857e+00, 0.000000000000000000e+00, 5.542234760228526014e-01, 1.000000000000000000e+00, 1.722603643809275942e-01
3.268109297463165142e+00, 0.000000000000000000e+00, 5.594181611095729867e-01, 1.000000000000000000e+00, 2.765358755368439447e-01
3.143280050275853998e+00, 0.000000000000000000e+00, 5.656808632485259558e-01, 1.000000000000000000e+00, 4.134663504172014781e-01
2.987629981037817295e+00, 0.000000000000000000e+00, 5.726368169537816577e-01, 1.000000000000000000e+00, 5.841612375912467181e-01
2.805670951671700220e+00, 0.000000000000000000e+00, 5.797994175950949014e-01, 1.000000000000000000e+00, 7.836633902842906618e-01
2.608338861446314105e+00, 0.000000000000000000e+00, 5.870741509361412369e-01, 1.000000000000000000e+00, 1.000000000000000000e+00
2.411037791810831887e+00, 0.000000000000000000e+00, 5.951346176812836175e-01, 1.000000000000000000e+00, 1.216336609715709338e+00
2.229080288201572113e+00, 0.000000000000000000e+00, 6.023337685979860412e-01, 1.000000000000000000e+00, 1.415838762408753171e+00
2.073426484110022283e+00, 0.000000000000000000e+00, 6.091808505340990942e-01, 1.000000000000000000e+00, 1.586533649582798411e+00
1.948753067431540975e+00, 0.000000000000000000e+00, 6.179134966834678444e-01, 1.000000000000000000e+00, 1.723464124463156111e+00
1.854315692647204639e+00, 0.000000000000000000e+00, 6.296228691841461167e-01, 1.000000000000000000e+00, 1.827739635619072267e+00
1.786412071677322855e+00, 0.000000000000000000e+00, 6.448887757880855665e-01, 1.000000000000000000e+00, 1.904044169930654951e+00
1.741460248789340248e+00, 0.000000000000000000e+00, 6.651345746997932018e-01, 1.000000000000000000e+00, 1.958266880232111484e+00
1.722513175931883689e+00, 0.000000000000000000e+00, 6.926100338015519498e-01, 1.000000000000000000e+00, 2.000000000000000000e+00
1.736488679353642928e+00, 0.000000000000000000e+00, 7.238068499019078006e-01, 1.000000000000000000e+00, 2.041733119767888294e+00
1.778590390687987632e+00, 0.000000000000000000e+00, 7.518215957812552919e-01, 1.000000000000000000e+00, 2.095955830069344827e+00
1.845373730043105454e+00, 0.000000000000000000e+00, 7.770729135436064139e-01, 1.000000000000000000e+00, 2.172260364380927733e+00
1.940493515944326397e+00, 0.000000000000000000e+00, 7.990404379148764447e-01, 1.000000000000000000e+00, 2.276535875536843889e+00
2.067759443170871680e+00, 0.000000000000000000e+00, 8.146037335252344080e-01, 1.000000000000000000e+00, 2.413466350417201589e+00
2.227537750102033698e+00, 0.000000000000000000e+00, 8.189541515381937309e-01, 1.000000000000000000e+00, 2.584161237591246607e+00
2.413997438406820795e+00, 0.000000000000000000e+00, 8.073890053900317776e-01, 1.000000000000000000e+00, 2.783663390284290440e+00
2.614742403171981699e+00, 0.000000000000000000e+00, 7.798960245086428156e-01, 1.000000000000000000e+00, 3.000000000000000000e+00
2.813918931736637763e+00, 0.000000000000000000e+00, 7.426576461868247270e-01, 1.000000000000000000e+00, 3.216336609715709116e+00
2.996087741265197835e+00, 0.000000000000000000e+00, 7.010301654483054312e-01, 1.000000000000000000e+00, 3.415838762408752949e+00
3.150723628567429380e+00, 0.000000000000000000e+00, 6.603965487283686153e-01, 1.000000000000000000e+00, 3.586533649582798411e+00
3.273893887233055633e+00, 0.000000000000000000e+00, 6.246221912530086628e-01, 1.000000000000000000e+00, 3.723464124463156111e+00
3.367130002251537135e+00, 0.000000000000000000e+00, 5.955144569406811694e-01, 1.000000000000000000e+00, 3.827739635619072267e+00
3.435028090204830686e+00, 0.000000000000000000e+00, 5.731895661161223732e-01, 1.000000000000000000e+00, 3.904044169930655173e+00
3.483098996074544207e+00, 0.000000000000000000e+00, 5.567933726612942502e-01, 1.000000000000000000e+00, 3.958266880232111262e+00
3.516460472204349763e+00, 0.000000000000000000e+00, 5.451207182674782104e-01, 1.000000000000000000e+00, 4.000000000000000000e+00
3.482390775601404531e+00, 1.399999999999999689e+00, 5.524951840441818529e-01, 1.199999999999999956e+00, 0.000000000000000000e+00
3.450305687317719361e+00, 1.399999999999999689e+00, 5.544674086313363670e-01, 1.199999999999999956e+00, 4.173311976788848798e-02
3.404195214827119731e+00, 1.399999999999999689e+00, 5.572354282143575643e-01, 1.199999999999999956e+00, 9.595583006934514658e-02
3.339298376542067182e+00, 1.399999999999999689e+00, 5.609910912825312179e-01, 1.199999999999999956e+00, 1.722603643809275942e-01
3.250596345842965640e+00, 1.399999999999999689e+00, 5.658394640301370737e-01, 1.199999999999999956e+00, 2.765358755368439447e-01
3.134089048468141403e+00, 1.399999999999999689e+00, 5.716846526931598227e-01, 1.199999999999999956e+00, 4.134663504172014781e-01
2.988815650512640865e+00, 1.399999999999999689e+00, 5.781768761513984556e-01, 1.199999999999999956e+00, 5.841612375912467181e-01
2.818987223104264750e+00, 1.399999999999999689e+00, 5.848619700832907720e-01, 1.199999999999999956e+00, 7.836633902842906618e-01
2.634810605560571339e+00, 1.399999999999999689e+00, 5.916517212016006999e-01, 1.199999999999999956e+00, 1.000000000000000000e+00
2.450662940567454484e+00, 1.399999999999999689e+00, 5.991748234970669662e-01, 1.199999999999999956e+00, 1.216336609715709338e+00
2.280835937198812058e+00, 1.399999999999999689e+00, 6.058940310193224876e-01, 1.199999999999999956e+00, 1.415838762408753171e+00
2.135559053380032157e+00, 1.399999999999999689e+00, 6.122846408263613593e-01, 1.199999999999999956e+00, 1.586533649582798411e+00
